EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	06:34:17	0	0.0200	0.07994173917848343	0.01590241301898392	0.931	0.871	0.9	0.8182
2	06:34:18	0	0.0200	0.08855202932123916	0.02161418048106033	0.9355	0.9355	0.9355	0.9355
3	06:34:19	0	0.0200	0.09061439355647531	0.021089600381891577	1.0	1.0	1.0	1.0
4	06:34:20	1	0.0200	0.08697942557062051	0.019226846759676484	0.9667	0.9355	0.9508	0.9062
5	06:34:20	2	0.0200	0.07548166425741336	0.010374731486585109	0.9677	0.9677	0.9677	0.9375
6	06:34:21	3	0.0200	0.08913838181248802	0.015262601086339415	0.9677	0.9677	0.9677	0.9375
7	06:34:22	4	0.0200	0.08537624187625396	0.022096873165691096	1.0	1.0	1.0	1.0
8	06:34:22	0	0.0100	0.06709947832923494	0.015741362207304852	1.0	1.0	1.0	1.0
9	06:34:23	1	0.0100	0.08746060818352556	0.010603701198058181	0.9667	0.9355	0.9508	0.9062
10	06:34:24	0	0.0100	0.09199168441730884	0.014422836396720984	1.0	1.0	1.0	1.0
11	06:34:24	0	0.0100	0.07652324032068902	0.00695931270765317	1.0	1.0	1.0	1.0
12	06:34:25	1	0.0100	0.07156410269256509	0.015333439736549307	1.0	1.0	1.0	1.0
13	06:34:26	2	0.0100	0.07611198483760741	0.013152915638815677	1.0	1.0	1.0	1.0
14	06:34:26	3	0.0100	0.09315195785231421	0.014294785721448263	1.0	1.0	1.0	1.0
15	06:34:27	0	0.0100	0.05659249173198149	0.005442209433697697	1.0	1.0	1.0	1.0
16	06:34:28	1	0.0100	0.08058396607068968	0.004768524362258508	0.9677	0.9677	0.9677	0.9375
17	06:34:28	2	0.0100	0.058962781682651115	0.013400588430851627	1.0	1.0	1.0	1.0
18	06:34:29	3	0.0100	0.06654802265219208	0.010261854950592599	1.0	1.0	1.0	1.0
19	06:34:30	0	0.0100	0.07125993645483532	0.0048996589338501165	1.0	1.0	1.0	1.0
20	06:34:30	0	0.0100	0.07925837631121643	0.0032847034949416852	1.0	1.0	1.0	1.0
