         619085 function calls (598864 primitive calls) in 0.381 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       66    0.001    0.000    0.797    0.012 __init__.py:1(<module>)
    827/1    0.004    0.000    0.382    0.382 {built-in method builtins.exec}
        1    0.000    0.000    0.382    0.382 jsctl.py:1(<module>)
    872/6    0.002    0.000    0.381    0.064 <frozen importlib._bootstrap>:986(_find_and_load)
    872/6    0.002    0.000    0.381    0.064 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
    822/6    0.002    0.000    0.381    0.063 <frozen importlib._bootstrap>:650(_load_unlocked)
    742/6    0.001    0.000    0.381    0.063 <frozen importlib._bootstrap_external>:777(exec_module)
   1040/6    0.000    0.000    0.380    0.063 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
   481/16    0.001    0.000    0.340    0.021 {built-in method builtins.__import__}
        1    0.000    0.000    0.305    0.305 __init__.py:1(load_standard)
  678/305    0.001    0.000    0.229    0.001 <frozen importlib._bootstrap>:1017(_handle_fromlist)
        1    0.000    0.000    0.138    0.138 net.py:1(<module>)
        1    0.000    0.000    0.136    0.136 live_actions.py:1(<module>)
        1    0.000    0.000    0.133    0.133 remote_actions.py:1(<module>)
1893/1756    0.037    0.000    0.121    0.000 {built-in method builtins.__build_class__}
        2    0.000    0.000    0.110    0.055 applications.py:1(<module>)
        2    0.000    0.000    0.104    0.052 routing.py:1(<module>)
        3    0.000    0.000    0.099    0.033 models.py:1(<module>)
        1    0.000    0.000    0.095    0.095 vector.py:1(<module>)
        1    0.000    0.000    0.068    0.068 jaseci.py:1(<module>)
        1    0.000    0.000    0.064    0.064 super_master.py:1(<module>)
  819/817    0.001    0.000    0.061    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
      742    0.004    0.000    0.056    0.000 <frozen importlib._bootstrap_external>:849(get_code)
        1    0.000    0.000    0.055    0.055 __init__.py:8(<module>)
        1    0.000    0.000    0.050    0.050 api_key.py:1(<module>)
       52    0.000    0.000    0.049    0.001 <frozen importlib._bootstrap_external>:1099(create_module)
       52    0.048    0.001    0.049    0.001 {built-in method _imp.create_dynamic}
  859/828    0.003    0.000    0.048    0.000 <frozen importlib._bootstrap>:890(_find_spec)
        1    0.000    0.000    0.045    0.045 master.py:1(<module>)
        1    0.000    0.000    0.044    0.044 multiarray.py:1(<module>)
        1    0.000    0.000    0.043    0.043 overrides.py:1(<module>)
        1    0.000    0.000    0.041    0.041 graph_api.py:1(<module>)
        1    0.000    0.000    0.040    0.040 sentinel.py:1(<module>)
        2    0.000    0.000    0.038    0.019 ast.py:1(<module>)
        1    0.000    0.000    0.038    0.038 jac_code.py:1(<module>)
       13    0.000    0.000    0.036    0.003 __init__.py:2(<module>)
      741    0.001    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
        2    0.000    0.000    0.032    0.016 datastructures.py:1(<module>)
      838    0.001    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
      741    0.031    0.000    0.031    0.000 {built-in method marshal.loads}
  839/838    0.002    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
      243    0.001    0.000    0.029    0.000 re.py:287(_compile)
      117    0.000    0.000    0.029    0.000 re.py:248(compile)
      115    0.000    0.000    0.028    0.000 sre_compile.py:759(compile)
        1    0.000    0.000    0.027    0.027 connectionpool.py:1(<module>)
     1418    0.007    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
        2    0.000    0.000    0.026    0.013 ATNDeserializer.py:60(deserialize)
3525/3340    0.002    0.000    0.024    0.000 typing.py:255(inner)
    52/26    0.000    0.000    0.024    0.001 <frozen importlib._bootstrap_external>:1107(exec_module)
    52/26    0.005    0.000    0.024    0.001 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.021    0.021 params.py:1(<module>)
        4    0.000    0.000    0.020    0.005 core.py:1(<module>)
        1    0.000    0.000    0.018    0.018 stripe_api.py:1(<module>)
        6    0.000    0.000    0.018    0.003 exceptions.py:1(<module>)
        1    0.000    0.000    0.018    0.018 jacParser.py:3(<module>)
        1    0.000    0.000    0.018    0.018 jacParser.py:605(jacParser)
        1    0.000    0.000    0.017    0.017 config.py:1(<module>)
        2    0.000    0.000    0.015    0.007 concurrency.py:1(<module>)
      115    0.000    0.000    0.015    0.000 sre_parse.py:937(parse)
  363/115    0.001    0.000    0.014    0.000 sre_parse.py:435(_parse_sub)
  458/122    0.005    0.000    0.014    0.000 sre_parse.py:493(_parse)
        1    0.000    0.000    0.014    0.014 numeric.py:1(<module>)
7732/6804    0.001    0.000    0.013    0.000 {built-in method builtins.hasattr}
      115    0.000    0.000    0.013    0.000 sre_compile.py:598(_code)
        1    0.000    0.000    0.012    0.012 __init__.py:3(<module>)
        8    0.000    0.000    0.012    0.002 six.py:85(_import_module)
        4    0.000    0.000    0.012    0.003 six.py:119(_resolve)
        1    0.000    0.000    0.012    0.012 utils.py:3(<module>)
    28/24    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
        2    0.000    0.000    0.012    0.006 shape_base.py:1(<module>)
       41    0.000    0.000    0.012    0.000 six.py:194(find_spec)
        4    0.000    0.000    0.012    0.003 six.py:219(is_package)
        1    0.000    0.000    0.012    0.012 six.py:122(__getattr__)
        1    0.000    0.000    0.012    0.012 resolver.py:18(<module>)
        2    0.004    0.002    0.011    0.005 ATNDeserializer.py:200(readEdges)
